DXPS01,DXPS01_hv
3531.41,356
3485.51,355
3460.6,354
3408.2,353
3397.28,352
3404.66,351
3417.7,350
3406.6,349
3438.54,348
3436.81,347
3431.08,346
3387.56,345
3368.41,344
3373.65,343
3344.54,342
3348.17,341
3349.28,340
3334.58,339
3309.68,338
3274.5,337
3257.23,336
3209.78,335
3155.93,334
3124.31,333
3094.3,332
3049.68,331
2977.99,330
3034.45,329
3158.03,328
3377.11,327
3438.62,326
3309.35,325
3044.16,324
2817.83,323
2750.66,322
2745.14,321
2724.86,320
2744.32,319
2733.33,318
2735.28,317
2714.05,316
2718.23,315
2746.04,314
2744.78,313
2743.38,312
2770.94,311
2749.03,310
2732.78,309
2712.9,308
2700.36,307
2681.52,306
2688.6,305
2679,304
2693.05,303
2682.97,302
2669.62,301
2673.41,300
2673.53,299
2663.08,298
2662.93,297
2687.86,296
2700.66,295
2762.67,294
2814.12,293
2806.57,292
2760.69,291
2669.1,290
2627.71,289
2632,288
2721.51,287
2964.11,286
3375.55,285
3642.97,284
3323.83,283
2750.96,282
2517.23,281
2474.36,280
2461.17,279
2441.64,278
2443.33,277
2449.1,276
2440.98,275
2433.53,274
2447.03,273
2448.65,272
2448.04,271
2448.3,270
2465.63,269
2470.62,268
2467.78,267
2485.03,266
2461.33,265
2440.75,264
2420.32,263
2428.03,262
2415.47,261
2421.5,260
2428.57,259
2423.41,258
2407.95,257
2399.2,256
2404,255
2415.36,254
2398.23,253
2395.57,252
2391.25,251
2395.34,250
2385.3,249
2367.81,248
2370.75,247
2358.05,246
2345.23,245
2360.62,244
2368.75,243
2381.3,242
2378.13,241
2382.12,240
2358.14,239
2299.33,238
2268.4,237
2249.37,236
2289.21,235
2323.68,234
2407.9,233
2495.44,232
2547.51,231
2552.05,230
2533.17,229
2516.44,228
2407.59,227
2224.5,226
2106.81,225
2097.71,224
2101.48,223
2082.68,222
2076.09,221
2061.19,220
2050.59,219
2043.8,218
2050.26,217
2055.08,216
2065.95,215
2055.78,214
2083.01,213
2074.89,212
2077.93,211
2101.84,210
2090.23,209
2063.17,208
2021.15,207
1993.86,206
1975.9,205
1969.88,204
1982.53,203
1995.58,202
2030.11,201
2052.04,200
2063.75,199
2073.19,198
2088.55,197
2116.39,196
2121.3,195
2098.58,194
2041.76,193
1984.92,192
1949.93,191
1926.81,190
1928.36,189
1932.83,188
1925.25,187
1921.61,186
1917.45,185
1912.99,184
1917.55,183
1914.25,182
1909.61,181
1908.34,180
1909.92,179
1922.52,178
1922.72,177
1917.87,176
1924.73,175
1927.77,174
1947.12,173
1952.35,172
1955.06,171
1951.8,170
1960.34,169
1955.64,168
1975.2,167
1972.62,166
1968.1,165
1977.95,164
1981.72,163
1997.93,162
2010.5,161
1997.05,160
1997.39,159
1997.98,158
2013.27,157
2014.55,156
2027.12,155
2036.32,154
2056.24,153
2055.95,152
2061.3,151
2043.75,150
2022.12,149
2033.93,148
2016.57,147
2010,146
2001.38,145
1975.47,144
1963.89,143
1936.14,142
1915.96,141
1903.84,140
1875,139
1849.14,138
1830.08,137
1815.57,136
1792.48,135
1781,134
1777.14,133
1767.55,132
1760.59,131
1753.9,130
1746.63,129
1750.07,128
1751.6,127
1747.91,126
1750.3,125
1754.99,124
1759.28,123
1753.39,122
1750.66,121
1749.76,120
1748.02,119
1750.08,118
1743.82,117
1738.42,116
1744.33,115
1734.8,114
1733.79,113
1732.01,112
1731.27,111
1727.09,110
1729.8,109
1725.02,108
1728.78,107
1739.05,106
1742.32,105
1752.13,104
1796,103
1839.21,102
1837.71,101
1790.3,100
1748.75,99
1724.03,98
1717.77,97
1720.48,96
1716.14,95
1721.36,94
1719.53,93
1718.24,92
1732.42,91
1724.41,90
1716.68,89
1717.52,88
1717.91,87
1721.26,86
1720.33,85
1709.29,84
1714.26,83
1713.57,82
1716.25,81
1714.19,80
1711.29,79
1716.94,78
1716.2,77
1718.78,76
1719.34,75
1721.34,74
1713.5,73
1707.27,72
1706.96,71
1706.23,70
1713.1,69
1709.87,68
1704.06,67
1707.7,66
1705.73,65
1711.64,64
1711.01,63
1714.49,62
1700.49,61
1698.63,60
1696.9,59
1696.19,58
1698.88,57
1696.51,56
1700.75,55
1704.07,54
1698.41,53
1693.54,52
1701.23,51
1708.29,50
1716.29,49
1718.78,48
1704.25,47
1692.84,46
1683.34,45
1684.1,44
1685.01,43
1690.05,42
1694.8,41
1697.11,40
1698.19,39
1700.86,38
1698.15,37
1696.5,36
1692.16,35
1678.48,34
1671.36,33
1667.34,32
1667.2,31
1671.92,30
1675.37,29
1670.41,28
1667.51,27
1667.87,26
1665.38,25
1669.93,24
1666.65,23
1668.71,22
1666.22,21
1661.37,20
1658.33,19
1655.28,18
1649.43,17
1646.66,16
1642.88,15
1630.52,14
1633.54,13
1633.43,12
1636.89,11
1636.64,10
1642.35,9
1646.94,8
1657.12,7
1662.14,6
1668.55,5
1670.46,4
1662.94,3
1652.19,2
1642.89,1
1626.94,0
1614.97,-1
1606.25,-2
1605.88,-3
1606.63,-4
1608.08,-5
1611.3,-6
1612.89,-7
1614.94,-8
1612.4,-9
